class,text
Paris,               For example Front de mode is an environmentally friendly concept store with clothing accessories leatherwear cosmetics and interior decor objects for a chic and sustainable future Step through the door of this pretty boutique in the Haut Marais and treat yourself to eco friendly products 
Paris,               With products stamped Go For Good the famous Parisian department store Galeries Lafayette Paris Haussmann values fashion items and accessories respecting the environment social development and support for French produced products You ll find them more or less everywhere in the store notably on the stands of brands Saint James Le Slip Fran ais Fj llraven Agn s b and Claudie Pierlot 
Paris,               The boutique S zane offers prototypes from its brand and items from previous collections whose profits are given to the programme Demain supporting educational and equal opportunities initiatives 
Paris,               For small budgets many consignment shops exist in the capital as well as thrift stores and give a second life to clothes at great prices Some like Chercheminippes favour recent collections 
Paris,               The biggest names in fashion and French luxury luggage favour the know how of local craftsmen The quality of the materials used and the care taken in the fabrication are the hallmark of French luxury throughout the world Discover or rediscover top French luxury brands such as Chanel Herm s Louis Vuitton and Lancel in the department stores or directly in their boutiques 
Paris,               And with jewellery made in Or du Monde let yourself be tempted by creations consisting only of materials from fair trade 
Paris,               Treat your taste buds during your stay in Paris and extend your trip by taking local and artisanal products back home with you The choice of French products is vast chocolate honey jam olive oil tea wine champagne Shop at La boutique des Pruneaux H DONIE Espace Sensoriel Dans le Noir Caves de Taillevent Le Chocolat Alain Ducasse Dilettantes Kusmi Tea and many other boutiques to take a bit of French gastronomy home in your luggage 
Paris,               Since 2012 MIF Made in France Expo has become the annual gathering place for professionals and consumers wishing to buy products made in France Textiles leather goods cosmetics food Some 500 exhibitors from all sectors of activity await you in Paris at the end of the year Discover the know how and products of companies that have opted for local manufacturing processes 
Berlin,               Every Berlin tour is sure to take in the TV Tower with its stunning views the famous Brandenburg Gate and the Reichstag parliament building 
Berlin,               Here you can buy your tickets for the TV Tower in advance and avoid long waiting times On visitBerlin de it s also quick and easy to order tickets for a Reichstag tour online 
Berlin,               You can also buy tickets for your city tour here in just three minutes 
Berlin,               Berlin has it all sights attractions and UNESCO World Heritage Sites To recharge your batteries it also has places of worship for all the world s main religions palaces parks and gardens For a quiet moment of reflection visit the spreading green cemeteries 
Berlin,               Berlin s vantage points offer stunning views of the city for instance from the TV Tower the Panoramapunkt on the 24th and 25th floors of the Kohlhoff Tower at Potsdamer Platz or for a taste of Berlin s countryside the M ggelberg hills 
Berlin,               You can still sense Berlin s turbulent past at the city s many memorial sites or along the Berlin Wall trail after all this is where world history was made 
Berlin,               From the government quarter in the heart of Berlin to architectural highlights and insiders tips for all of Berlin s districts we show you the well known and lesser known sights of Berlin 
Berlin,               We have put together a compact introduction to the history of Berlin from its founding to this day At the end of the 19th century Berlin rose to become a world metropolis Large German electrical and chemical companies employed thousands of workers that flocked to the city from Silesia Pomerania and East Prussia Fascinating examples of the industrial culture can still be seen in Berlin today Monuments and memorial sites commemorate the burning of books the Reichspogromnacht the persecution death and suffering under Nationalism but also the resistance to it such as Stauffenberg s assassination attempt Right in the heart of the city near the Brandenburg Gate and the Reichstag is where the impressive field of stelae of the Monument to the Murdered Jews of Europe lies Not far from here you will see the Topography of Terror memorial and remnants of the Berlin Wall You can explore further traces of the wall along the Berlin Wall Trail on foot or even by bike 
Berlin,               You will be able to learn even more about Berlin s history with the help of our city tours and guides Alte Fritz Old Fritz will take you on a journey through time to discover Prussian German history The Hop on Hop off city tour Mauer Kiez will guide you in comfort through the trendy district of Prenzlauer Berg to the Eastside Gallery and the Berlin Wall Memorial The Brandenburg Gate Museum introduces you to 300 years of history Discover everyday life in the GDR in the interactive DDR Museum while the Deutsche Spionagemuseum German Spy Museum reveals the ambiguous world of the secret services And the museum pass enables you to visit even more museums at your leisure you will get three days free entry to over 30 museums in Berlin 
Berlin,               Get recommendations about the best experiences from other visitors Here you will find the most popular tickets among visitors to Berlin Our travel service for a stress free holiday in Berlin get your tickets for city tours museums and exhibitions and sights through our convenient online booking system You will have the ticket that is right for you in a matter of minutes 
Berlin,               From the rise of Prussia and the founding of the German Reich right through to reunification time and again it is Berlin which decided the fate of the entire country as well as that of the world The scars and wastelands in the cityscape still expose traces of the past and tell a story of war and dictatorship which shaped the 20th century Here at Checkpoint Charlie is where the tanks of the world powers faced each other during the Cold War 
Berlin,               The remnants of the Berlin Wall bear testimony to the erection of the Wall the division of the city and the whole country and to suffering and death Unique and unforgotten probably the brightest hour in the city s history the fall of the Berlin Wall Today Berlin stands for freedom tolerance and diversity of lifestyles Go on a journey through time and discover the scenes of world history in Berlin 
Berlin,               Discover the places where history is still alive Important events of history played out here Stroll through medieval Berlin in the Nikolaiviertel Admire the beautiful palaces dating from Prussia s glory days in Charlottenburg and Sanssouci 
Berlin,               Industrial buildings and modern buildings tell a story about the rise of Berlin to a cosmopolitan city and of the golden twenties The most striking construction of the city s history is the Berlin Wall which divided the city for over 28 years 
Berlin,               Enjoy our exclusive hotel deal and get one night for free Simply decide how long you want to stay 
Berlin,               Book 3 nights and only pay for 2 or book 4 nights and only pay for 3 
Berlin,               This deal always includes breakfast as well as the Berlin Welcome Card for your Berlin city break 
Berlin,               One thing is clear Berlin has many different faces 
Berlin,               So you think you ve discovered Berlin Perhaps you ve taken selfies in front of the Brandenburg Gate been to see Nefertiti and enjoyed the view of the capital from the TV tower 
Berlin,               Then it s time for a different side of Berlin its twelve boroughs Get out and explore the districts and neighbourhoods Twelve different faces different stories undiscovered places and a side of the city you ve never seen before but still unmistakably Berlin 
Berlin,               Reinickendorf Treptow K penick Is that Berlin Of course it is The twelve boroughs of Berlin are what give the capital city its character 
Berlin,               The glorious variety of all the different boroughs has grown every neighbourhood known in Berlin as a Kiez has been shaped by its own characteristic history Charlottenburg in the west by the rich industrial pioneers of the 19th century or Marzahn in the east with its typical East German socialist architecture 
Berlin,               Berlin s boroughs include old industrial areas that have become thriving cultural centres as well as sleepy villages busy markets and arcades and endless green landscapes rivers and bathing lakes But above all it s the people who live there that make each neighbourhood unique Just sit in the sun outside the caf s and restaurants and immerse yourself in the world of Berlin s local neighbourhoods far from the hectic pace of the metropolis 
Berlin,               Or for a fascinatingly different take on life in Berlin expand your horizons by going local in Berlin s 12 districts and exploring the diverse neighbourhoods But no matter how varied the city s neighbourhoods are they all share that special Berlin feeling and sense of freedom 
Berlin,               Discover the latest exhibitions and highlights in Berlin s museums The five museums on the famous Museum Island a UNESCO World Heritage Site form the world s largest museum ensemble The city has many other top exhibitions to enjoy 
Berlin,               Berlin has around 170 museums so you d need to stay quite a while to see them all We help you narrow down the field and find your favourite museums Berlin has major exhibitions with art works from across the ages starting with masterpieces from the classical and modern world on Museum Island including the legendary bust of Egyptian Queen Nefertiti in the spectacularly restored Neues Museum New Museum 
Berlin,               The world famous Museum Island comprises five museums presenting a panorama of art and history from ancient cultures to nineteenth century painting Across the city you can look forward to a wealth of stunning museum collections modern and contemporary art spoken word and cutting edge theatre three opera houses and music from classic to experimental 
Berlin,               In the Gem ldegalerie you can enjoy one of the world s leading collections of European paintings from the thirteenth to the eighteenth century For a collection of cutting edge modern and contemporary art head for the Hamburger Bahnhof museum 
Berlin,               To discover more about Berlin s history and Germany s chequered past visit the GDR Museum the German Historical Museum the M rkisches Museum the Ephraim Palais or the Jewish Museum 
Berlin,               For a different take on the city s culture and history don t miss the interactive Currywurst Museum dedicated to the city s iconic snack For the sweeter things in life check out the Sugar Museum in the German Museum of Technology just one of the city s many unusual museums with unusual exhibits For night owls the Long Night of Museums is a perfect start to an evening in Berlin with the city s museums open until midnight And with the Berlin Welcome Card you can enjoy great savings on many of the city s museums including the world famous Museum Island 
Las Vegas,               Las Vegas is basically a mix of majestic experiences and questionable decisions Considering all of the cool things to do in Las Vegas that juxtaposition seems fair And while all of this town s drool inducing restaurants and jaw dropping shows deserve all of the attention they get we think the best way to fully experience Las Vegas is with a tour Follow us for a bit because we know that the phrase tours in Las Vegas conjures up images of old timers being shuttled around a museum Not in Vegas though We have Hoover Dam tours Grand Canyon tours Mojave Desert tours Red Rock Canyon tours Las Vegas Strip tours Las Vegas Helicopter tours and way more So get off your toosh and shake down one of our many Las Vegas tours 
Las Vegas,               We re going to be very honest with you right now Those Instagram pics of your amazing Friday night are sweet and everything but that friend is the equivalent of a sleepy Monday in Vegas Bars every night pool clubs in season nightclubs on weekends strip clubs 24 7 365 From chill to off the hook it doesn t get more happenin than Vegas Check out our Las Vegas club guide and get ready to experience a night that will put things like those darling little Instagram posts of yours in perspective 
Las Vegas,               The 2 5 mile long central section of Las Vegas Boulevard which runs through the city from northeast to southwest known as the Strip is lined with huge entertainment palaces many built with a defining theme and home to performance venues luxury hotel rooms and fine dining The Strip is particularly impressive at night when the city is illuminated by an endless succession of glittering neon signs 
Las Vegas,               Most visitors enjoy walking along the Strip and taking in the sights Generally speaking the Las Vegas Strip runs from the Mandalay Bay Hotel to Treasure Island Hotel To truly experience Las Vegas stay on the Strip preferably at one of the major resorts For a look at some of the best accommodation options in a variety of price ranges see our recommended hotels 
Las Vegas,               In old downtown Las Vegas Fremont Street is a pedestrian only area with all kinds of unique sites A five block section of Fremont Street is covered over with a canopy of LED lights that illuminate the sky in a spectacle of different colors and designs as you walk below Known as the Fremont Street Experience each night a fantastic music and visual show takes place overhead Street performers and special entertainment acts often perform outdoors in this area Fremont Street is in downtown Las Vegas a few kilometers from the Strip 
Las Vegas,               It is best to take a taxi to reach this area Or if you want to truly experience Las Vegas at night take the 3 5 hour Las Vegas Lights Night Tour which includes the Fremont Street light show and highlights along the Strip 
Las Vegas,               For a great aerial view over Las Vegas or even the Grand Canyon visitors may want to take a helicopter ride Las Vegas has a number of companies providing helicopter tours that take visitors over Las Vegas and the Strip or as far away as the Grand Canyon This is a great opportunity for anyone with limited time to see not only Vegas but the surrounding landscape and one of America s most impressive and famous natural attractions If you have a full day for exploring try a 6 5 hour 
Las Vegas,               The Venetian Hotel in Las Vegas is located on the Strip across from Treasure Island It is one of the city s finest resorts and has many interesting tourist attractions 
Las Vegas,               Inside is a themed shopping arcade built to resemble the city of Venice complete with blue skies canals and gondoliers The hotel also features recreations of the main attractions found in Venice such as the Rialto Bridge and the Bridge of Sighs along with many others 
Las Vegas,               The Venetian Gondola Rides are a fun way to see the complex Situated out in front of the Venetian Hotel near the sidewalk boats await passengers who are then taken on a ride by their personable gondolier through the shopping arcade inside the hotel 
Las Vegas,               Located on the Strip Paris Las Vegas is one of the most easily recognized resorts in the city Out front is a scale model of the Eiffel Tower and down the way is a recreation of the Paris Opera House Forty six stories above the city streets the Eiffel Tower Experience is an observation deck with incredible 360 degree views One story below this is posh and romantic Eiffel Tower Restaurant with fine views out over the Strip and across to the dancing fountains of Bellagio Also on the property is a mock hot air balloon festooned with neon and flashing lights 
Las Vegas,               The Mirage Hotel is easy to identify while walking along the Strip In front of the resort is a volcano which erupts at regular intervals At night the glowing red fire shooting out is one of the most unique sites visible from the sidewalk Inside the Mirage is the Secret Garden and Dolphin Habitat You can see a wide variety of exotic animals including white lions The Dolphin Habitat contains a large number of trained dolphins in its 2 5 million gallon pools 
Las Vegas,               The New York New York Hotel in Las Vegas is across the street from both the MGM Grand Hotel and the Excalibur Resort Hotel Visually stunning the hotel is designed to appear like New York s skyline complete with the Brooklyn Bridge and the Statue of Liberty A huge roller coaster circles in and around the hotel 
Las Vegas,               Perhaps one of the best known of all the Las Vegas hotel resorts Caesar s Palace continues to evolve Currently Caesar s Palace is a massive complex in the middle of the Strip complete with every imaginable entertainment option The hotel is closely associated with shows held in its huge concert venue known as The Colosseum Top performers which have included Celine Dion and Elton John perform here for extended periods and shows are often booked out well in advance Visitors planning a trip and hoping to see a performance here will want to check out dates and ticket availability as early as possible 
Las Vegas,               We broke down the Las Vegas shows you ve always wanted to see and events you ve been waiting to attend Just get ready to be entertained But while you re planning remember this is Las Vegas Itineraries will only go so far Don t forget to check out our entertainment must sees while you re here 
Istanbul,               Over the centuries many cultures have added their mark to this prized piece of land Today you can experience those influences firsthand by exploring Istanbul s mahalles neighborhoods From the holy sites of Sultanahmet and the 19th century European elegance of Beyo lu to the high fashion of Ni anta the vibrant caf society of Kad k y and the football loving streets of Be ikta it s easy to see why travelers say that Istanbul isn t just one city but many cities within one 
Istanbul,               Coveted by empires across the centuries straddling both Europe and Asia Istanbul is one of the world s great metropolises Founded around 1000 BC the colony of Byzantium grew into the Byzantine Empire s great capital of Constantinople and after the Ottoman conquest of the city retained its glorious place as the heart of their empire The city officially renamed Istanbul after the founding of the Turkish Republic is liberally scattered with glorious remnants of its long and illustrious history and the sightseeing here will impress even the most monument weary visitor 
Istanbul,               As well as the big four Aya Sofya Topkapi Palace Blue Mosque and Grand Bazaar leave enough time to explore the other sights Although many tourist attractions are located in or near the old city district of Sultanahmet there is a dazzling array of other things to do throughout the farther reaches of the city Plan your trip with our list of the top tourist attractions in Istanbul 
Istanbul,               It s said that when the Byzantine Emperor Justinian entered his finished church for the first time in AD 536 he cried out Glory to God that I have been judged worthy of such a work Oh Solomon I have outdone you The Aya Sofya formerly the Hagia Sophia was the emperor s swaggering statement to the world of the wealth and technical ability of his empire Tradition maintained that the area surrounding the emperor s throne within the church was the official center of the world 
Istanbul,               Through its conversion to a mosque after the Ottoman armies conquered Constantinople to its further conversion into a museum in the 20th century the Aya Sofya has remained one of Istanbul s most cherished landmarks 
Istanbul,               First built by Mehmet the Conqueror in the 15th century this glorious palace beside the Bosphorus was where the sultans of the Ottoman Empire ruled over their dominions up until the 19th century The vast complex is a dazzling display of Islamic art with opulent courtyards lined with intricate hand painted tile work linking a warren of sumptuously decorated rooms all bounded by battlemented walls and towers 
Istanbul,               Of the many highlights here the most popular are the Harem where the sultan s many concubines and children would spend their days the Second Court where you can walk through the vast Palace Kitchens and stand in awe at the dazzling interior of the Imperial Council Chamber and the Third Court which contained the sultan s private rooms 
Istanbul,               The Third Court also displays an impressive collection of relics of the Prophet Muhammad in the Sacred Safekeeping Room and is home to the Imperial Treasury where you re greeted with a cache of glittering gold objects and precious gems that will make your eyes water To fully see Topkapi Palace you ll need at least half a day 
Istanbul,               Sultan Ahmet I s grand architectural gift to his capital was this beautiful mosque commonly known as the Blue Mosque today Built between 1609 and 1616 the mosque caused a furore throughout the Muslim world when it was finished as it had six minarets the same number as the Great Mosque of Mecca A seventh minaret was eventually gifted to Mecca to stem the dissent 
Istanbul,               The mosque gets its nickname from its interior decoration of tens of thousands of Iznik tiles The entire spatial and color effect of the interior makes the mosque one of the finest achievements of Ottoman architecture A great sightseeing joy of a trip to Istanbul is wandering amid the gardens sandwiched between the Blue Mosque and the Aya Sofya to experience their dueling domes in twin glory Come at dusk for extra ambience as the call to prayer echoes out from the Blue Mosque s minaret 
Istanbul,               Directly behind the Blue Mosque is the Arasta Bazaar a great place for a shopping stop as the handicraft shops here sell high quality souvenirs Even if you re not interested in a browse head here to see the Great Palace Mosaic Museum which is tucked between the Arasta Bazaar and the mosque This small museum displays the 250 square meter fragment of mosaic pavement that was unearthed in the 1950s here Excellent information panels explain the mosaic floor s recovery and subsequent rescue 
Istanbul,               The Basilica Cistern is one of Istanbul s most surprising tourist attractions This huge palace like underground hall supported by 336 columns in 12 rows once stored the imperial water supply for the Byzantine emperors The project was begun by Constantine the Great but finished by Emperor Justinian in the 6th century 
Istanbul,               Many of the columns used in construction were recycled from earlier classical structures and feature decorative carvings The most famous of these are the column bases known as the Medusa stones in the northwest corner with their Medusa head carvings A visit here is very atmospheric with the columns beautifully lit and the soft steady trickle of water all around you 
Istanbul,               The ancient Hippodrome was begun by Septimius Severus in AD 203 and completed by Constantine the Great in AD 330 This was the center of Byzantine public life and the scene of splendid games and chariot races but also factional conflicts Today there isn t much of the Hippodrome left to see except for a small section of the gallery walls on the southern side but the At Meydani park which now stands on the site is home to a variety of monuments 
Istanbul,               On the northwest side is a fountain presented to the Ottoman sultan by the German Emperor William II in 1898 Then heading southwest are three ancient monuments a 20 meter high Egyptian obelisk from Heliopolis the Serpent Column brought here from Delphi by Constantine and a stone obelisk that originally was clad in gold covered bronze plating until they were stolen by the soldiers of the 4th Crusade in 1204 
Istanbul,               Just a hop skip and jump away from Topkapi Palace this important museum complex brings together a staggering array of artifacts from Turkey and throughout the Middle East which sweeps through the vast breadth of history of this region There are three separate sections in the complex each of which are worthy of a visit the Museum of the Ancient Orient the main Archaeology Museum and the Tiled Pavilion of Mehmet the Conqueror which holds a staggering collection of ceramic art As well as all the wonderful artifacts on display don t miss the interesting Istanbul Through the Ages exhibit room in the main Archaeology Museum 
Istanbul,               For many visitors sightseeing in Istanbul is as much about shopping as museums and monumental attractions and the Grand Bazaar is where everyone comes This massive covered market is basically the world s first shopping mall taking up a whole city quarter surrounded by thick walls between the Nure Osmaniye Mosque and Beyazit Mosque The Beyazit Mosque built in 1498 1505 itself occupies the site of Theodosius I s Forum and has architecture inspired by the Aya Sofya 
Istanbul,               Entrance to the bazaar is through one of 11 gates from where a maze of vaulted ceiling laneways lined by shops and stalls selling every Turkish souvenir and handicraft you could imagine cover the area The various trades are still mostly segregated into particular sections which makes browsing easier Near the bazaar s Divanyolu Caddesi entrance is the Burned Column This stump still 40 meters high of a porphyry column was set up by Constantine the Great in his forum Until 1105 it bore a bronze statue of Constantine 
Istanbul,               Sitting high on the hill above Sultanahmet district the S leymaniye Mosque is one of the most recognized landmarks of Istanbul It was built for S leyman the Magnificent by the famed Ottoman architect Sinan between 1549 and 75 The interior dominated by its soaring 53 meter high dome is notable for its harmonious proportions and unity of design Outside in the tranquil garden area is an interesting Ottoman cemetery that is also home to the t rbes tombs of the Sultan S leyman and his wife Haseki H rrem Sultan known in the west as Roxelana 
Istanbul,               The Spice Bazaar is the place to get your foodie fix of lokum Turkish delight dried fruit nuts herbs and of course spices Much of the money that helped construct it came from the taxes the Ottoman government levied on Egyptian made products which is why its name in Turkish Misir arsisi means Egyptian Market The Spice Bazaar is one of the most popular things to do and at certain times of the day gets ridiculously crowded with huge tour groups from the docked cruise ships Try to come before 11am or after 4pm 
Istanbul,               Just next door to the Spice Bazaar s main entrance is the stately Yeni Camii New Mosque which was begun in 1615 and finished in 1663 that s new for Istanbul It is worthwhile taking a peek inside while you re sightseeing in the area as the interior is richly decorated with tile work and liberal use of gold leaf 
Istanbul,               The sumptuous and ornate Dolmabah e Palace shows the clear influence of European decoration and architecture on the Ottoman Empire in the 19th century Built by Sultan Abd lmecid I in 1854 it replaced Topkapi Palace as the main residence of the sultans The formal gardens are punctuated with fountains ornamental basins and blooming flower beds while inside the sheer splendor and pomp of the Turkish Renaissance style is dazzling The interiors mix Rococo Baroque Neoclassical and Ottoman elements with mammoth crystal chandeliers liberal use of gold French style furniture and dazzling frescoed ceilings 
Bangkok,               Bangkok is one of the world s top tourist destinations The city itself is a true tourist paradise proved by the growing number of travelers coming each year 
Bangkok,               A side of the city itself Bangkok is also surrounded by many interesting provinces that are worth visiting 
Bangkok,               Located at the north of Bangkok are Nonthaburi and Pathum Thani provinces They have many attractions such as Koh Kret and Lotus museum 
